%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
4733.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_65,no commment
4733.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_66,no commment
4813.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_67,no commment
4813.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_68,no commment
4893.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_69,no commment
4893.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_70,no commment
4973.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_71,no commment
4973.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_72,no commment
5053.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_73,no commment
5053.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_74,no commment
5133.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_75,no commment
5133.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_76,no commment
5213.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_77,no commment
5213.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_78,no commment
5293.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_79,no commment
5293.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_80,no commment
6013.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_81,no commment
6013.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_82,no commment
6093.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_83,no commment
6093.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_84,no commment
6173.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_85,no commment
6173.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_86,no commment
6253.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETMCal_87,no commment
6253.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETMCal_88,no commment
5533.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_89,no commment
5533.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_90,no commment
5613.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_91,no commment
5613.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_92,no commment
5693.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_93,no commment
5693.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_94,no commment
5773.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_95,no commment
5773.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_96,no commment
5853.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_97,no commment
5853.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_98,no commment
5933.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_99,no commment
5933.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_100,no commment
3800.15,6303.75,TE,1550,YieldRing,YieldRingR12g200L450_101,no commment
3783.7,5901.1,TE,1550,YieldRing,YieldRingR12g200L450_102,no commment
3902.65,5473.65,TE,1550,YieldRing,YieldRingR12g200L450_103,no commment
4070.9,5630.0,TE,1550,Han,TEMShallow_104,P385N400D120_Z
4086.2,4831.3,TE,1550,Han,TEMShallow_105,P380N800D80_Z
4651.65,5571.45,TE,1550,Xu,APGw505p312c14_106,no commment
4130.2,6297.35,TE,1550,YieldRing,YieldRingR12g200L450_108,no commment
4124.6,5440.7,TE,1550,YieldRing,YieldRingR12g200L450_109,no commment
4215.1,6167.7,TE,1550,Xu,Cal_110,no commment
4215.1,5867.7,TE,1550,Xu,Cal_111,no commment
4215.1,5567.7,TE,1550,Xu,Cal_112,no commment
4333.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_113,no commment
4333.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_114,no commment
4413.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_115,no commment
4413.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_116,no commment
4493.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_117,no commment
4493.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_118,no commment
4573.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_119,no commment
4573.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_120,no commment
4653.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_121,no commment
4653.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_122,no commment
4651.65,5871.45,TE,1550,Xu,APGw500p312c14_123,no commment
3991.3,4986.35,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_124,no commment
3991.3,4859.35,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_125,no commment
3984.95,5898.35,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_126,no commment
3984.95,5771.35,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_127,no commment
4226.35,5377.4,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_128,no commment
4226.35,5250.4,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_129,no commment
4556.7,5567.3,TE,1550,Xu,UGw500p318c120_130,no commment
4476.7,5567.3,TE,1550,Xu,UGw500p318c110_131,no commment
4396.7,5567.3,TE,1550,Xu,UGw500p318c100_132,no commment
4316.7,5567.3,TE,1550,Xu,UGw500p318c90_133,no commment
4556.7,5867.3,TE,1550,Xu,UGw500p318c80_134,no commment
4476.7,5867.3,TE,1550,Xu,UGw500p318c70_135,no commment
4396.7,5867.3,TE,1550,Xu,UGw500p318c60_136,no commment
4316.7,5867.3,TE,1550,Xu,UGw500p318c50_137,no commment
4556.7,6167.3,TE,1550,Xu,UGw500p318c40_138,no commment
4476.7,6167.3,TE,1550,Xu,UGw500p318c30_139,no commment
4396.7,6167.3,TE,1550,Xu,UGw500p318c20_140,no commment
4316.7,6167.3,TE,1550,Xu,UGw500p318c10_141,no commment
4651.65,6171.45,TE,1550,Xu,APGw495p312c14_144,no commment
4630.7,4573.95,TE,1550,Han,TEMShallow_164,P375N200D120_Z
4503.85,4573.95,TE,1550,Han,TEMShallow_166,P375N200D80_Z
4385.5,4575.25,TE,1550,Han,TEMShallow_168,P375N200D40_Z
4244.7,4097.95,TE,1550,Han,TEMShallow_169,P385N800D120_Z
4103.55,4078.55,TE,1550,Han,TEMShallow_173,P385N800D80_Z
3946.3,4088.7,TE,1550,Han,TEMShallow_174,P385N800D40_Z
4622.625,4263.562,TE,1550,device,UBCcontraGratings2_175,gap280nmpitch312nmnumber500currugation120nm130nm
4639.573,3383.229,TE,1550,device,UBCcontraGratings2_176,gap200nmpitch316nm
3879.2,4672.3,TE,1550,YieldRing,YieldRingR12g200L450_170,no commment
4048.75,6292.95,TE,1550,YieldRing,YieldRingR12g200L450_142,no commment
3886.65,6289.35,TE,1550,YieldRing,YieldRingR12g200L450_143,no commment
3479.75,3755.15,TE,1550,YieldRing,YieldRingR12g200L450_161,no commment
3772.9,3744.2,TE,1550,YieldRing,YieldRingR12g200L450_162,no commment
3241.45,4666.7,TE,1550,YieldRing,YieldRingR12g200L450_163,no commment
3649.15,4675.3,TE,1550,YieldRing,YieldRingR12g200L450_165,no commment
3498.95,4713.9,TE,1550,YieldRing,YieldRingR12g200L450_167,no commment
4083.35,4600.85,TE,1550,YieldRing,YieldRingR12g200L450_171,no commment
4171.8,4663.8,TE,1550,YieldRing,YieldRingR12g200L450_172,no commment
3910.4,3329.75,TE,1550,YieldRing,YieldRingR12g200L450_177,no commment
4556.9,3493.6,TE,1550,YieldRing,YieldRingR12g200L450_178,no commment
4508.85,3653.9,TE,1550,YieldRing,YieldRingR12g200L450_179,no commment
3569.35,3635.5,TE,1550,YieldRing,YieldRingR12g200L450_180,no commment
4709.2,4126.05,TE,1550,YieldRing,YieldRingR12g200L450_187,no commment
5066.4,3250.55,TE,1550,YieldRing,YieldRingR12g200L450_193,no commment
5412.5,3211.45,TE,1550,YieldRing,YieldRingR12g200L450_194,no commment
4893.1,3236.7,TE,1550,YieldRing,YieldRingR12g200L450_195,no commment
4725.25,3228.2,TE,1550,YieldRing,YieldRingR12g200L450_196,no commment
5929.55,3220.7,TE,1550,YieldRing,YieldRingR12g200L450_197,no commment
5758.6,3226.9,TE,1550,YieldRing,YieldRingR12g200L450_198,no commment
5922.05,4486.3,TE,1550,YieldRing,YieldRingR12g200L450_199,no commment
5752.15,4552.65,TE,1550,YieldRing,YieldRingR12g200L450_200,no commment
5569.3,4416.75,TE,1550,YieldRing,YieldRingR12g200L450_201,no commment
5063.55,3543.4,TE,1550,YieldRing,YieldRingR12g200L450_202,no commment
5582.35,3674.25,TE,1550,YieldRing,YieldRingR12g200L450_203,no commment
5407.85,3661.8,TE,1550,YieldRing,YieldRingR12g200L450_204,no commment
5566.0,4134.1,TE,1550,YieldRing,YieldRingR12g200L450_205,no commment
5575.95,4582.15,TE,1550,YieldRing,YieldRingR12g200L450_206,no commment
5054.8,3960.8,TE,1550,YieldRing,YieldRingR12g200L450_207,no commment
5754.1,3676.0,TE,1550,YieldRing,YieldRingR12g200L450_208,no commment
4270.65,4576.4,TE,1550,Han,TEMShallow_181,P380N200D80_Z
4633.173,3814.825,TE,1550,device,UBCcontraGratings2_183,gap200nmpitch320nm
4500.85,4132.35,TE,1550,Han,TEMShallow_184,P380N200D40_Z
4391.35,4121.3,TE,1550,Han,TEMShallow_185,P380N200D0_Z
5242.7,4573.15,TE,1550,Han,TEMShallow_186,P380N400D0_Z
5121.75,4573.15,TE,1550,Han,TEMShallow_188,P380N200D120_Z
5672.357,3369.457,TE,1550,device,UBCcontraGratings2_189,gap240nmpitch320nmnumber500
6012.357,3369.457,TE,1550,device,UBCcontraGratings2_190,gap320nmpitch320nmnumber500
5502.357,3369.457,TE,1550,device,UBCcontraGratings2_191,gap200nmpitch320nmnumber500
6182.357,3369.457,TE,1550,device,UBCcontraGratings2_192,gap360nmpitch320nmnumber500
5493.925,4698.191,TE,1550,device,UBCcontraGratings2_209,gap280nmpitch312nmnumber500currugation30nm40nm
5833.925,4698.191,TE,1550,device,UBCcontraGratings2_210,gap280nmpitch312nmnumber500currugation70nm80nm
5663.925,4698.191,TE,1550,device,UBCcontraGratings2_211,gap280nmpitch312nmnumber500currugation50nm60nm
6003.925,4698.191,TE,1550,device,UBCcontraGratings2_212,gap280nmpitch312nmnumber500currugation90nm100nm
6173.925,4698.191,TE,1550,device,UBCcontraGratings2_213,gap280nmpitch312nmnumber500currugation110nm120nm
5302.625,4263.562,TE,1550,device,UBCcontraGratings2_214,gap280nmpitch312nmnumber500currugation160nm170nm
5132.625,4263.562,TE,1550,device,UBCcontraGratings2_215,gap280nmpitch312nmnumber500currugation150nm160nm
4792.625,4263.562,TE,1550,device,UBCcontraGratings2_216,gap280nmpitch312nmnumber500currugation130nm140nm
5386.2,4138.4,TE,1550,YieldRing,YieldRingR12g200L450_217,no commment
4962.625,4263.562,TE,1550,device,UBCcontraGratings2_218,gap280nmpitch312nmnumber500currugation140nm150nm
4979.573,3383.229,TE,1550,device,UBCcontraGratings2_219,gap280nmpitch316nm
5149.573,3383.229,TE,1550,device,UBCcontraGratings2_220,gap320nmpitch316nm
5005.1,4573.95,TE,1550,Han,TEMShallow_222,P375N400D120_Z
4809.573,3383.229,TE,1550,device,UBCcontraGratings2_223,gap240nmpitch316nm
4877.2,4573.95,TE,1550,Han,TEMShallow_224,P375N400D80_Z
5313.173,3814.825,TE,1550,device,UBCcontraGratings2_225,gap360nmpitch320nm
4973.173,3814.825,TE,1550,device,UBCcontraGratings2_226,gap280nmpitch320nm
4803.173,3814.825,TE,1550,device,UBCcontraGratings2_227,gap240nmpitch320nm
5143.173,3814.825,TE,1550,device,UBCcontraGratings2_228,gap320nmpitch320nm
5319.573,3383.229,TE,1550,device,UBCcontraGratings2_229,gap360nmpitch316nm
5838.337,4261.446,TE,1550,device,UBCcontraGratings2_231,gap280nm
6178.337,4261.446,TE,1550,device,UBCcontraGratings2_232,gap360nm
5467.923,4259.602,TE,1550,device,UBCcontraGratings2_233,gap200nm
6008.337,4261.446,TE,1550,device,UBCcontraGratings2_234,gap320nm
5668.337,4261.446,TE,1550,device,UBCcontraGratings2_235,gap240nm
4756.25,4573.95,TE,1550,Han,TEMShallow_237,P375N400D40_Z
5370.6,4573.15,TE,1550,Han,TEMShallow_238,P380N400D40_Z
5842.357,3369.457,TE,1550,device,UBCcontraGratings2_239,gap280nmpitch320nmnumber500
5495.757,3813.514,TE,1550,device,UBCcontraGratings2_240,gap200nmpitch312nmnumber500
5835.757,3813.514,TE,1550,device,UBCcontraGratings2_241,gap280nmpitch312nmnumber500
6175.757,3813.514,TE,1550,device,UBCcontraGratings2_242,gap360nmpitch312nmnumber500
5665.757,3813.514,TE,1550,device,UBCcontraGratings2_243,gap240nmpitch312nmnumber500
6005.757,3813.514,TE,1550,device,UBCcontraGratings2_244,gap320nmpitch312nmnumber500
922.7,5492.35,TE,1550,Han,TEMShallow_290,P385N400D40_Z
814.65,5479.6,TE,1550,Han,TEMShallow_291,P385N200D120_Z
578.65,5477.6,TE,1550,Han,TEMShallow_295,P385N200D40_Z
691.95,5484.65,TE,1550,Han,TEMShallow_299,P385N200D80_Z
5590.7,3231.0,TE,1550,YieldRing,YieldRingR12g200L450_221,no commment
5922.3,3676.95,TE,1550,YieldRing,YieldRingR12g200L450_230,no commment
5048.35,4129.65,TE,1550,YieldRing,YieldRingR12g200L450_236,no commment
5401.9,3963.65,TE,1550,YieldRing,YieldRingR12g200L450_245,no commment
5217.9,4113.4,TE,1550,YieldRing,YieldRingR12g200L450_246,no commment
4876.95,4120.6,TE,1550,YieldRing,YieldRingR12g200L450_247,no commment
2424.55,5525.9,TE,1550,YieldRing,YieldRingR12g200L450_274,no commment
2584.75,5535.55,TE,1550,YieldRing,YieldRingR12g200L450_275,no commment
2685.1,5558.75,TE,1550,YieldRing,YieldRingR12g200L450_276,no commment
2572.3,6274.9,TE,1550,YieldRing,YieldRingR12g200L450_277,no commment
1421.5,6087.25,TE,1550,YieldRing,YieldRingR12g200L450_292,no commment
665.85,5230.7,TE,1550,YieldRing,YieldRingR12g200L450_293,no commment
49.95,5212.2,TE,1550,YieldRing,YieldRingR12g200L450_294,no commment
1164.4,5226.65,TE,1550,YieldRing,YieldRingR12g200L450_298,no commment
1075.65,3626.9,TE,1550,YieldRing,YieldRingR12g200L450_306,no commment
1417.55,3632.7,TE,1550,YieldRing,YieldRingR12g200L450_307,no commment
825.05,4675.3,TE,1550,YieldRing,YieldRingR12g200L450_308,no commment
653.35,4675.3,TE,1550,YieldRing,YieldRingR12g200L450_309,no commment
546.05,4709.6,TE,1550,YieldRing,YieldRingR12g200L450_310,no commment
168.35,4701.05,TE,1550,YieldRing,YieldRingR12g200L450_311,no commment
61.05,4675.3,TE,1550,YieldRing,YieldRingR12g200L450_312,no commment
650.157,3767.651,TE,1550,device,UBCcontraGratings2_313,gap200nmpitch316nmnumber500
1160.157,3767.651,TE,1550,device,UBCcontraGratings2_314,gap320nmpitch316nmnumber500
529.95,3642.7,TE,1550,YieldRing,YieldRingR12g200L450_327,no commment
321.2,3751.45,TE,1550,YieldRing,YieldRingR12g200L450_328,no commment
238.7,3765.2,TE,1550,YieldRing,YieldRingR12g200L450_329,no commment
1504.15,3647.0,TE,1550,Han,TEMShallow_330,P385N400D80_Z
901.8,3626.9,TE,1550,YieldRing,YieldRingR12g200L450_333,no commment
990.157,3767.651,TE,1550,device,UBCcontraGratings2_334,gap280nmpitch316nmnumber500
820.157,3767.651,TE,1550,device,UBCcontraGratings2_335,gap240nmpitch316nmnumber500
1330.157,3767.651,TE,1550,device,UBCcontraGratings2_336,gap360nmpitch316nmnumber500
2790.75,4683.85,TE,1550,YieldRing,YieldRingR12g200L450_337,no commment
1621.3,3726.65,TE,1550,YieldRing,YieldRingR12g200L450_351,no commment
2265.9,4676.1,TE,1550,YieldRing,YieldRingR12g200L450_352,no commment
2500.0,4678.3,TE,1550,YieldRing,YieldRingR12g200L450_353,no commment
2670.7,4678.3,TE,1550,YieldRing,YieldRingR12g200L450_355,no commment
2057.05,1959.1,TE,1550,YieldRing,YieldRingR12g200L450_357,no commment
2258.95,1959.1,TE,1550,YieldRing,YieldRingR12g200L450_358,no commment
2512.4,1959.1,TE,1550,YieldRing,YieldRingR12g200L450_359,no commment
2731.5,1959.1,TE,1550,YieldRing,YieldRingR12g200L450_360,no commment
2963.5,1959.1,TE,1550,YieldRing,YieldRingR12g200L450_361,no commment
1739.15,3097.55,TE,1550,YieldRing,YieldRingR12g200L450_362,no commment
2005.5,3097.55,TE,1550,YieldRing,YieldRingR12g200L450_363,no commment
2495.25,3093.25,TE,1550,YieldRing,YieldRingR12g200L450_364,no commment
2319.1,3093.25,TE,1550,YieldRing,YieldRingR12g200L450_365,no commment
2697.15,3093.25,TE,1550,YieldRing,YieldRingR12g200L450_366,no commment
3019.35,3093.25,TE,1550,YieldRing,YieldRingR12g200L450_367,no commment
1627.45,1954.8,TE,1550,YieldRing,YieldRingR12g200L450_368,no commment
1825.05,1954.8,TE,1550,YieldRing,YieldRingR12g200L450_369,no commment
1584.5,3097.55,TE,1550,YieldRing,YieldRingR12g200L450_380,no commment
57.5,3086.0,TE,1550,YieldRing,YieldRingR12g200L450_382,no commment
1331.0,1976.3,TE,1550,YieldRing,YieldRingR12g200L450_383,no commment
884.25,3097.55,TE,1550,YieldRing,YieldRingR12g200L450_384,no commment
158.4,1971.0,TE,1550,YieldRing,YieldRingR12g200L450_387,no commment
62.5,1913.7,TE,1550,YieldRing,YieldRingR12g200L450_388,no commment
243.3,2549.15,TE,1550,YieldRing,YieldRingR12g200L450_389,no commment
163.3,2546.6,TE,1550,YieldRing,YieldRingR12g200L450_390,no commment
67.8,2482.05,TE,1550,YieldRing,YieldRingR12g200L450_391,no commment
183.95,3114.4,TE,1550,YieldRing,YieldRingR12g200L450_392,no commment
1073.25,3097.55,TE,1550,YieldRing,YieldRingR12g200L450_393,no commment
1331.0,3097.55,TE,1550,YieldRing,YieldRingR12g200L450_394,no commment
746.75,3088.95,TE,1550,YieldRing,YieldRingR12g200L450_395,no commment
639.35,1967.7,TE,1550,YieldRing,YieldRingR12g200L450_396,no commment
875.65,1972.0,TE,1550,YieldRing,YieldRingR12g200L450_397,no commment
1103.35,1976.3,TE,1550,YieldRing,YieldRingR12g200L450_398,no commment
434.9,612.8,TE,1550,Han,TEMShallow_415,P380N800D120_Z
435.85,182.5,TE,1550,Han,TEMShallow_419,P380N800D40_Z
893.35,176.3,TE,1550,Han,TEMShallow_420,P380N800D0_Z
740.45,176.8,TE,1550,Han,TEMShallow_421,P380N400D120_Z
589.1,176.3,TE,1550,Han,TEMShallow_422,P380N400D80_Z
893.9,612.95,TE,1550,Han,TEMShallow_431,P375N800D120_Z
741.0,613.45,TE,1550,Han,TEMShallow_432,P375N800D80_Z
589.65,612.95,TE,1550,Han,TEMShallow_433,P375N800D40_Z
1179.75,1413.75,TE,1550,YieldRing,YieldRingR12g200L450_434,no commment
1041.25,986.2,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_441,no commment
1041.25,859.2,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_442,no commment
345.55,602.65,TE,1550,YieldRing,YieldRingR12g200L450_447,no commment
1347.45,969.45,TE,1550,YieldRing,YieldRingR12g200L450_448,no commment
1257.45,960.95,TE,1550,YieldRing,YieldRingR12g200L450_449,no commment
1136.7,965.2,TE,1550,YieldRing,YieldRingR12g200L450_450,no commment
2828.8,447.2,TE,1550,YieldRing,YieldRingR12g200L450_468,no commment
2487.2,1399.7,TE,1550,YieldRing,YieldRingR12g200L450_469,no commment
2391.75,1399.7,TE,1550,YieldRing,YieldRingR12g200L450_470,no commment
2919.5,419.75,TE,1550,YieldRing,YieldRingR12g200L450_478,no commment
2734.7,393.35,TE,1550,YieldRing,YieldRingR12g200L450_479,no commment
2600.3,468.95,TE,1550,YieldRing,YieldRingR12g200L450_490,no commment
3083.1,412.7,TE,1550,YieldRing,YieldRingR12g200L450_491,no commment
3009.35,466.05,TE,1550,YieldRing,YieldRingR12g200L450_492,no commment
5325.737,2033.142,TE,1550,device,UBCcontraGratings2_505,gap360nmpitch320nmnumber1000
4815.737,2033.142,TE,1550,device,UBCcontraGratings2_506,gap240nmpitch320nmnumber1000
4985.737,2033.142,TE,1550,device,UBCcontraGratings2_507,gap280nmpitch320nmnumber1000
5155.737,2033.142,TE,1550,device,UBCcontraGratings2_508,gap320nmpitch320nmnumber1000
6176.588,1997.997,TE,1550,device,UBCcontraGratings2_509,gap360nmpitch320nmnumber2000
5496.588,1997.997,TE,1550,device,UBCcontraGratings2_510,gap200nmpitch320nmnumber2000
6006.588,1997.997,TE,1550,device,UBCcontraGratings2_511,gap320nmpitch320nmnumber2000
5666.588,1997.997,TE,1550,device,UBCcontraGratings2_512,gap240nmpitch320nmnumber2000
5836.588,1997.997,TE,1550,device,UBCcontraGratings2_513,gap280nmpitch320nmnumber2000
6028.4,2795.1,TE,1550,YieldRing,YieldRingR12g200L450_514,no commment
5931.35,2803.85,TE,1550,YieldRing,YieldRingR12g200L450_515,no commment
6253.4,2885.8,TE,1550,YieldRing,YieldRingR12g200L450_516,no commment
6138.75,2774.2,TE,1550,YieldRing,YieldRingR12g200L450_517,no commment
5825.0,2762.15,TE,1550,YieldRing,YieldRingR12g200L450_518,no commment
5613.8,2759.1,TE,1550,YieldRing,YieldRingR12g200L450_519,no commment
4885.75,2458.25,TE,1550,YieldRing,YieldRingR12g200L450_520,no commment
5432.9,2455.25,TE,1550,YieldRing,YieldRingR12g200L450_521,no commment
5058.15,2495.75,TE,1550,YieldRing,YieldRingR12g200L450_522,no commment
5411.65,1909.35,TE,1550,YieldRing,YieldRingR12g200L450_523,no commment
5704.1,2796.85,TE,1550,YieldRing,YieldRingR12g200L450_524,no commment
5290.15,2460.5,TE,1550,YieldRing,YieldRingR12g200L450_525,no commment
5146.1,2472.5,TE,1550,YieldRing,YieldRingR12g200L450_526,no commment
3732.3,3085.75,TE,1550,YieldRing,YieldRingR12g200L450_527,no commment
3821.35,3135.6,TE,1550,YieldRing,YieldRingR12g200L450_528,no commment
3247.05,3093.25,TE,1550,YieldRing,YieldRingR12g200L450_529,no commment
3453.25,3093.25,TE,1550,YieldRing,YieldRingR12g200L450_530,no commment
3238.45,2551.95,TE,1550,YieldRing,YieldRingR12g200L450_531,no commment
3483.3,2551.95,TE,1550,YieldRing,YieldRingR12g200L450_532,no commment
3762.55,2534.75,TE,1550,YieldRing,YieldRingR12g200L450_533,no commment
3229.85,1989.2,TE,1550,YieldRing,YieldRingR12g200L450_534,no commment
3393.1,1989.2,TE,1550,YieldRing,YieldRingR12g200L450_535,no commment
3903.1,2292.1,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_536,no commment
3903.1,2165.1,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_537,no commment
3517.7,1989.2,TE,1550,YieldRing,YieldRingR12g200L450_538,no commment
3706.7,1980.6,TE,1550,YieldRing,YieldRingR12g200L450_539,no commment
4645.737,2033.142,TE,1550,device,UBCcontraGratings2_540,gap200nmpitch320nmnumber1000
3630.85,3134.7,TE,1550,YieldRing,YieldRingR12g200L450_541,no commment
3795.85,1022.35,TE,1550,YieldRing,YieldRingR12g200L450_542,no commment
3697.65,1022.35,TE,1550,YieldRing,YieldRingR12g200L450_543,no commment
3876.7,1430.2,TE,1550,YieldRing,YieldRingR12g200L450_544,no commment
3788.7,1372.0,TE,1550,YieldRing,YieldRingR12g200L450_545,no commment
3703.65,1439.15,TE,1550,YieldRing,YieldRingR12g200L450_582,no commment
3989.25,1017.85,TE,1550,YieldRing,YieldRingR12g200L450_583,no commment
4645.737,965.212,TE,1550,device,UBCcontraGratings2_585,gap200nmpitch312nmnumber1000
4239.1,1022.9,TE,1550,YieldRing,YieldRingR12g200L450_586,no commment
4456.0,1013.1,TE,1550,YieldRing,YieldRingR12g200L450_587,no commment
4553.85,1018.0,TE,1550,YieldRing,YieldRingR12g200L450_588,no commment
4553.85,1192.5,TE,1550,YieldRing,YieldRingR12g200L450_589,no commment
3379.85,393.85,TE,1550,YieldRing,YieldRingR12g200L450_590,no commment
3188.3,448.8,TE,1550,YieldRing,YieldRingR12g200L450_591,no commment
4607.2,453.1,TE,1550,YieldRing,YieldRingR12g200L450_592,no commment
3287.9,419.75,TE,1550,YieldRing,YieldRingR12g200L450_593,no commment
4645.737,1497.951,TE,1550,device,UBCcontraGratings2_594,gap200nmpitch316nmnumber1000
3897.1,1020.85,TE,1550,YieldRing,YieldRingR12g200L450_595,no commment
5242.45,797.2,TE,1550,YieldRing,YieldRingR12g200L450_596,no commment
5325.737,1497.951,TE,1550,device,UBCcontraGratings2_597,gap360nmpitch316nmnumber1000
5836.588,1139.457,TE,1550,device,UBCcontraGratings2_598,gap280nmpitch316nmnumber2000
4985.737,1497.951,TE,1550,device,UBCcontraGratings2_599,gap280nmpitch316nmnumber1000
5496.588,287.362,TE,1550,device,UBCcontraGratings2_600,gap200nmpitch312nmnumber2000
6006.588,1139.457,TE,1550,device,UBCcontraGratings2_601,gap320nmpitch316nmnumber2000
5666.588,1139.457,TE,1550,device,UBCcontraGratings2_602,gap240nmpitch316nmnumber2000
5155.737,1497.951,TE,1550,device,UBCcontraGratings2_603,gap320nmpitch316nmnumber1000
5449.75,820.25,TE,1550,YieldRing,YieldRingR12g200L450_604,no commment
4731.65,823.9,TE,1550,YieldRing,YieldRingR12g200L450_605,no commment
5073.05,780.95,TE,1550,badLabel,badlabel_TE1550_Xu_TETM1_606,no commment
5073.05,653.95,TE,1550,badLabel,badlabel_TM1550_Xu_TETM1_607,no commment
4906.15,827.15,TE,1550,YieldRing,YieldRingR12g200L450_608,no commment
5325.737,965.212,TE,1550,device,UBCcontraGratings2_609,gap360nmpitch312nmnumber1000
4985.737,965.212,TE,1550,device,UBCcontraGratings2_610,gap280nmpitch312nmnumber1000
5155.737,965.212,TE,1550,device,UBCcontraGratings2_611,gap320nmpitch312nmnumber1000
4815.737,1497.951,TE,1550,device,UBCcontraGratings2_612,gap240nmpitch316nmnumber1000
6176.588,1139.457,TE,1550,device,UBCcontraGratings2_613,gap360nmpitch316nmnumber2000
5645.1,1548.85,TE,1550,YieldRing,YieldRingR12g200L450_614,no commment
5585.05,1017.6,TE,1550,YieldRing,YieldRingR12g200L450_615,no commment
5819.05,804.4,TE,1550,YieldRing,YieldRingR12g200L450_616,no commment
6156.8,587.45,TE,1550,YieldRing,YieldRingR12g200L450_617,no commment
5579.55,164.9,TE,1550,YieldRing,YieldRingR12g200L450_618,no commment
5216.6,200.7,TE,1550,YieldRing,YieldRingR12g200L450_619,no commment
4896.3,426.95,TE,1550,YieldRing,YieldRingR12g200L450_620,no commment
4705.65,419.5,TE,1550,YieldRing,YieldRingR12g200L450_621,no commment
5755.75,1014.55,TE,1550,YieldRing,YieldRingR12g200L450_627,no commment
5666.588,287.362,TE,1550,device,UBCcontraGratings2_622,gap240nmpitch312nmnumber2000
5836.588,287.362,TE,1550,device,UBCcontraGratings2_623,gap280nmpitch312nmnumber2000
